Information: Updating design information... (UID-85)
 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : dsp_slice_fp32
Version: O-2018.06-SP5
Date   : Wed Jul 15 00:47:55 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

  Startpoint: funct_flopped_reg[0]
              (rising edge-triggered flip-flop clocked by clk)
  Endpoint: resulta_flopped_1_reg[30]
            (rising edge-triggered flip-flop clocked by clk)
  Path Group: clk
  Path Type: max

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  clock clk (rise edge)                                   0.00       0.00
  clock network delay (ideal)                             0.00       0.00
  funct_flopped_reg[0]/CLK (DFFPOSX1)                     0.00       0.00 r
  funct_flopped_reg[0]/Q (DFFPOSX1)                       0.11       0.11 f
  U919/Y (AND2X2)                                         0.04       0.15 f
  U719/Y (MUX2X1)                                         0.05       0.20 r
  U706/Y (INVX1)                                          0.03       0.23 f
  U696/Y (AND2X2)                                         0.05       0.28 f
  U1435/Y (AOI22X1)                                       0.04       0.31 r
  U773/Y (BUFX2)                                          0.03       0.35 r
  U754/Y (AND2X2)                                         0.03       0.38 r
  U755/Y (INVX1)                                          0.02       0.40 f
  Adder/b[23] (FPAddSub_single)                           0.00       0.40 f
  Adder/M1/B[23] (FPAddSub_a)                             0.00       0.40 f
  Adder/M1/U189/Y (INVX1)                                 0.01       0.40 r
  Adder/M1/U349/Y (INVX1)                                 0.02       0.42 f
  Adder/M1/U45/Y (AND2X1)                                 0.03       0.45 f
  Adder/M1/U400/Y (INVX1)                                 0.01       0.46 r
  Adder/M1/U523/Y (OAI21X1)                               0.01       0.47 f
  Adder/M1/U524/Y (OAI21X1)                               0.04       0.51 r
  Adder/M1/U525/Y (OAI21X1)                               0.03       0.55 f
  Adder/M1/U526/Y (OAI21X1)                               0.02       0.57 r
  Adder/M1/U542/Y (AOI22X1)                               0.04       0.61 f
  Adder/M1/U426/Y (BUFX2)                                 0.04       0.65 f
  Adder/M1/U543/Y (XOR2X1)                                0.06       0.71 r
  Adder/M1/U87/Y (MUX2X1)                                 0.03       0.74 f
  Adder/M1/U105/Y (INVX1)                                 0.01       0.74 r
  Adder/M1/U424/Y (AND2X2)                                0.04       0.78 r
  Adder/M1/U187/Y (INVX1)                                 0.02       0.80 f
  Adder/M1/U416/Y (INVX1)                                 0.02       0.82 r
  Adder/M1/U232/Y (AND2X2)                                0.03       0.85 r
  Adder/M1/U357/Y (INVX1)                                 0.01       0.86 f
  Adder/M1/U549/Y (OAI21X1)                               0.04       0.91 r
  Adder/M1/U601/Y (AOI22X1)                               0.05       0.95 f
  Adder/M1/U311/Y (BUFX2)                                 0.04       0.99 f
  Adder/M1/U255/Y (AND2X2)                                0.04       1.03 f
  Adder/M1/U14/Y (INVX2)                                  0.02       1.05 r
  Adder/M1/U602/Y (AOI22X1)                               0.02       1.07 f
  Adder/M1/U329/Y (BUFX2)                                 0.04       1.11 f
  Adder/M1/U202/Y (AND2X2)                                0.03       1.14 f
  Adder/M1/U60/Y (INVX1)                                  0.00       1.14 r
  Adder/M1/Mmin_3[5] (FPAddSub_a)                         0.00       1.14 r
  Adder/M2/Mmin[5] (FpAddSub_b)                           0.00       1.14 r
  Adder/M2/U38/Y (BUFX2)                                  0.04       1.18 r
  Adder/M2/add_34/B[13] (FpAddSub_b_DW01_add_1)           0.00       1.18 r
  Adder/M2/add_34/U254/Y (OR2X2)                          0.04       1.21 r
  Adder/M2/add_34/U321/Y (INVX1)                          0.03       1.24 f
  Adder/M2/add_34/U275/Y (OR2X1)                          0.04       1.28 f
  Adder/M2/add_34/U447/Y (INVX1)                          0.01       1.29 r
  Adder/M2/add_34/U257/Y (AND2X2)                         0.03       1.32 r
  Adder/M2/add_34/U327/Y (INVX1)                          0.02       1.34 f
  Adder/M2/add_34/U187/Y (OAI21X1)                        0.04       1.38 r
  Adder/M2/add_34/U94/Y (AOI21X1)                         0.02       1.40 f
