 
****************************************
Report : timing
        -path end
        -delay max
Design : FPMult_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:12:40 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
------------------------------------------------------------------------
pipe_1_reg[35]/D (DFFPOSX1)         1.39 f        infinity     infinity
pipe_1_reg[34]/D (DFFPOSX1)         1.35 r        infinity     infinity
pipe_1_reg[30]/D (DFFPOSX1)         1.34 r        infinity     infinity
pipe_1_reg[28]/D (DFFPOSX1)         1.34 r        infinity     infinity
pipe_1_reg[32]/D (DFFPOSX1)         1.31 r        infinity     infinity
pipe_1_reg[29]/D (DFFPOSX1)         1.28 r        infinity     infinity
pipe_1_reg[27]/D (DFFPOSX1)         1.28 r        infinity     infinity
pipe_1_reg[26]/D (DFFPOSX1)         1.28 r        infinity     infinity
pipe_1_reg[33]/D (DFFPOSX1)         1.28 r        infinity     infinity
pipe_1_reg[31]/D (DFFPOSX1)         1.28 r        infinity     infinity
pipe_1_reg[24]/D (DFFPOSX1)         1.22 r        infinity     infinity
pipe_1_reg[20]/D (DFFPOSX1)         1.20 r        infinity     infinity
pipe_1_reg[22]/D (DFFPOSX1)         1.20 r        infinity     infinity
pipe_1_reg[23]/D (DFFPOSX1)         1.17 r        infinity     infinity
pipe_1_reg[21]/D (DFFPOSX1)         1.14 r        infinity     infinity
pipe_1_reg[19]/D (DFFPOSX1)         1.14 r        infinity     infinity
pipe_1_reg[18]/D (DFFPOSX1)         1.14 r        infinity     infinity
pipe_1_reg[17]/D (DFFPOSX1)         1.11 r        infinity     infinity
pipe_1_reg[25]/D (DFFPOSX1)         1.11 r        infinity     infinity
pipe_1_reg[16]/D (DFFPOSX1)         1.07 r        infinity     infinity
pipe_1_reg[14]/D (DFFPOSX1)         1.01 r        infinity     infinity
pipe_1_reg[15]/D (DFFPOSX1)         0.99 r        infinity     infinity
pipe_1_reg[13]/D (DFFPOSX1)         0.92 r        infinity     infinity
pipe_1_reg[12]/D (DFFPOSX1)         0.90 r        infinity     infinity
pipe_1_reg[11]/D (DFFPOSX1)         0.83 r        infinity     infinity
pipe_1_reg[10]/D (DFFPOSX1)         0.80 r        infinity     infinity
pipe_1_reg[9]/D (DFFPOSX1)          0.69 r        infinity     infinity
pipe_1_reg[8]/D (DFFPOSX1)          0.65 r        infinity     infinity
pipe_1_reg[7]/D (DFFPOSX1)          0.56 r        infinity     infinity
pipe_1_reg[6]/D (DFFPOSX1)          0.53 f        infinity     infinity
pipe_1_reg[4]/D (DFFPOSX1)          0.40 f        infinity     infinity
pipe_1_reg[2]/D (DFFPOSX1)          0.35 f        infinity     infinity
pipe_1_reg[68]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[67]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[66]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[64]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[62]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[61]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[59]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[58]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[56]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[55]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[53]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_1_reg[5]/D (DFFPOSX1)          0.24 r        infinity     infinity
pipe_1_reg[3]/D (DFFPOSX1)          0.24 r        infinity     infinity
pipe_2_reg[38]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[36]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[33]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[32]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[31]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[23]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[22]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[21]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[20]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[18]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[16]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[15]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[14]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[13]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[12]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[11]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[10]/D (DFFPOSX1)         0.24 r        infinity     infinity
pipe_2_reg[9]/D (DFFPOSX1)          0.24 r        infinity     infinity
pipe_2_reg[8]/D (DFFPOSX1)          0.24 r        infinity     infinity
pipe_2_reg[7]/D (DFFPOSX1)          0.24 r        infinity     infinity
pipe_2_reg[6]/D (DFFPOSX1)          0.24 r        infinity     infinity
pipe_2_reg[5]/D (DFFPOSX1)          0.24 r        infinity     infinity
pipe_1_reg[70]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_1_reg[69]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_1_reg[65]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_1_reg[63]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_1_reg[60]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_1_reg[57]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_1_reg[54]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[37]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[30]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[29]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[28]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[27]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[26]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[25]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[24]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[19]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[17]/D (DFFPOSX1)         0.23 r        infinity     infinity
pipe_2_reg[4]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[3]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[2]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[1]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_2_reg[0]/D (DFFPOSX1)          0.23 r        infinity     infinity
pipe_1_reg[110]/D (DFFPOSX1)        0.06 f        infinity     infinity
