 
****************************************
Report : timing
        -path end
        -delay max
Design : FPAddSub_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:20:10 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
------------------------------------------------------------------------
pipe_1_reg[7]/D (DFFPOSX1)          1.42 f        infinity     infinity
pipe_1_reg[6]/D (DFFPOSX1)          1.42 f        infinity     infinity
pipe_1_reg[5]/D (DFFPOSX1)          1.42 f        infinity     infinity
pipe_1_reg[8]/D (DFFPOSX1)          1.41 f        infinity     infinity
pipe_1_reg[9]/D (DFFPOSX1)          1.41 f        infinity     infinity
pipe_1_reg[4]/D (DFFPOSX1)          1.40 f        infinity     infinity
pipe_1_reg[3]/D (DFFPOSX1)          1.40 f        infinity     infinity
pipe_1_reg[2]/D (DFFPOSX1)          1.40 f        infinity     infinity
pipe_1_reg[1]/D (DFFPOSX1)          1.40 f        infinity     infinity
pipe_1_reg[10]/D (DFFPOSX1)         1.40 f        infinity     infinity
pipe_1_reg[0]/D (DFFPOSX1)          1.37 f        infinity     infinity
pipe_1_reg[14]/D (DFFPOSX1)         1.37 f        infinity     infinity
pipe_1_reg[15]/D (DFFPOSX1)         1.37 f        infinity     infinity
pipe_1_reg[11]/D (DFFPOSX1)         1.37 f        infinity     infinity
pipe_1_reg[12]/D (DFFPOSX1)         1.35 f        infinity     infinity
pipe_1_reg[13]/D (DFFPOSX1)         1.35 f        infinity     infinity
pipe_1_reg[16]/D (DFFPOSX1)         1.35 f        infinity     infinity
pipe_1_reg[17]/D (DFFPOSX1)         1.30 f        infinity     infinity
pipe_1_reg[18]/D (DFFPOSX1)         1.26 f        infinity     infinity
pipe_1_reg[19]/D (DFFPOSX1)         1.26 r        infinity     infinity
pipe_1_reg[20]/D (DFFPOSX1)         1.26 r        infinity     infinity
pipe_1_reg[21]/D (DFFPOSX1)         1.25 r        infinity     infinity
pipe_1_reg[22]/D (DFFPOSX1)         1.24 f        infinity     infinity
pipe_1_reg[23]/D (DFFPOSX1)         1.10 f        infinity     infinity
pipe_1_reg[37]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[34]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[51]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[50]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[49]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[48]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[47]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[46]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[45]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[38]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[36]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[35]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[33]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[32]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[31]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[30]/D (DFFPOSX1)         0.78 r        infinity     infinity
pipe_1_reg[62]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[58]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[57]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[64]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[63]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[61]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[60]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[59]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[44]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[43]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[42]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[41]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[40]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[39]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[29]/D (DFFPOSX1)         0.77 r        infinity     infinity
pipe_1_reg[65]/D (DFFPOSX1)         0.52 r        infinity     infinity
pipe_1_reg[28]/D (DFFPOSX1)         0.46 r        infinity     infinity
pipe_1_reg[27]/D (DFFPOSX1)         0.35 f        infinity     infinity
pipe_1_reg[25]/D (DFFPOSX1)         0.35 r        infinity     infinity
pipe_1_reg[24]/D (DFFPOSX1)         0.30 f        infinity     infinity
pipe_1_reg[68]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[6]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_1_reg[67]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[8]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_1_reg[66]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[7]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[5]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[16]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[15]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[14]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[13]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[12]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[11]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[10]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[9]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[4]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[3]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_1_reg[26]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[2]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[1]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[0]/D (DFFPOSX1)          0.29 r        infinity     infinity
pipe_2_reg[17]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[18]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[19]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[20]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[21]/D (DFFPOSX1)         0.29 r        infinity     infinity
pipe_2_reg[30]/D (DFFPOSX1)         0.29 r        infinity     infinity
